id,fund,sort,total,"date",groupId
66,6236,1,5,"2021-08-02",9
67,6168,2,64,"2021-08-02",1
68,6132,3,3,"2021-08-02",17
69,4818,4,10,"2021-08-02",7
70,4442,5,3,"2021-08-02",16
71,4064,6,2,"2021-08-02",11
72,3202,7,39,"2021-08-02",5
73,3044,8,17,"2021-08-02",4
74,2961,9,19,"2021-08-02",13
75,2647,10,3,"2021-08-02",20
76,1498,11,1,"2021-08-02",19
77,1488,12,14,"2021-08-02",12
78,1203,13,10,"2021-08-02",8
79,733,14,16,"2021-08-02",10
80,702,15,3,"2021-08-02",6
81,566,16,2,"2021-08-02",15
82,342,17,6,"2021-08-02",2
83,103,18,2,"2021-08-02",14
84,16,19,1,"2021-08-02",3
85,8933,0,7,"2021-08-03",18
86,6236,1,5,"2021-08-03",9
87,6168,2,64,"2021-08-03",1
88,6132,3,3,"2021-08-03",17
89,4818,4,10,"2021-08-03",7
90,4442,5,3,"2021-08-03",16
91,4064,6,2,"2021-08-03",11
92,3202,7,39,"2021-08-03",5
93,3044,8,17,"2021-08-03",4
94,2961,9,19,"2021-08-03",13
95,2647,10,3,"2021-08-03",20
96,1498,11,1,"2021-08-03",19
97,1488,12,14,"2021-08-03",12
98,1203,13,10,"2021-08-03",8
99,733,14,16,"2021-08-03",10
100,702,15,3,"2021-08-03",6
101,566,16,2,"2021-08-03",15
102,342,17,6,"2021-08-03",2
103,103,18,2,"2021-08-03",14
104,16,19,1,"2021-08-03",3
105,8933,0,7,"2021-08-04",18
106,6236,1,5,"2021-08-04",9
107,6168,2,64,"2021-08-04",1
108,6132,3,3,"2021-08-04",17
109,4818,4,10,"2021-08-04",7
110,4442,5,3,"2021-08-04",16
111,4064,6,2,"2021-08-04",11
112,3202,7,39,"2021-08-04",5
113,3044,8,17,"2021-08-04",4
114,2961,9,19,"2021-08-04",13
115,2647,10,3,"2021-08-04",20
116,1529,11,2,"2021-08-04",19
117,1488,12,15,"2021-08-04",12
118,1203,13,10,"2021-08-04",8
119,733,14,17,"2021-08-04",10
120,702,15,3,"2021-08-04",6
121,645,16,3,"2021-08-04",14
122,566,17,2,"2021-08-04",15
123,342,18,6,"2021-08-04",2
124,16,19,1,"2021-08-04",3
125,8933,0,7,"2021-08-05",18
126,6236,1,5,"2021-08-05",9
127,6168,2,64,"2021-08-05",1
128,6132,3,3,"2021-08-05",17
129,4818,4,10,"2021-08-05",7
130,4442,5,3,"2021-08-05",16
131,4064,6,2,"2021-08-05",11
132,3202,7,39,"2021-08-05",5
133,3044,8,17,"2021-08-05",4
134,2961,9,19,"2021-08-05",13
135,2647,10,3,"2021-08-05",20
136,1529,11,2,"2021-08-05",19
137,1488,12,15,"2021-08-05",12
138,1203,13,10,"2021-08-05",8
139,733,14,17,"2021-08-05",10
140,702,15,3,"2021-08-05",6
141,645,16,3,"2021-08-05",14
142,566,17,2,"2021-08-05",15
143,342,18,6,"2021-08-05",2
144,16,19,1,"2021-08-05",3
145,8933,0,7,"2021-08-06",18
146,6236,1,5,"2021-08-06",9
147,6168,2,64,"2021-08-06",1
148,6132,3,3,"2021-08-06",17
149,4818,4,10,"2021-08-06",7
150,4442,5,3,"2021-08-06",16
151,4064,6,2,"2021-08-06",11
152,3202,7,40,"2021-08-06",5
153,3044,8,17,"2021-08-06",4
154,2988,9,4,"2021-08-06",20
155,2961,10,19,"2021-08-06",13
156,1529,11,2,"2021-08-06",19
157,1488,12,15,"2021-08-06",12
158,1203,13,10,"2021-08-06",8
159,733,14,17,"2021-08-06",10
160,702,15,3,"2021-08-06",6
161,645,16,3,"2021-08-06",14
162,566,17,2,"2021-08-06",15
163,342,18,6,"2021-08-06",2
164,16,19,1,"2021-08-06",3
165,9402,0,10,"2021-08-07",18
166,6236,1,5,"2021-08-07",9
167,6168,2,64,"2021-08-07",1
168,6132,3,3,"2021-08-07",17
169,4818,4,10,"2021-08-07",7
170,4442,5,3,"2021-08-07",16
171,4064,6,2,"2021-08-07",11
172,3481,7,2,"2021-08-07",3
173,3202,8,40,"2021-08-07",5
174,3044,9,17,"2021-08-07",4
175,3044,10,5,"2021-08-07",20
176,2961,11,19,"2021-08-07",13
177,1529,12,2,"2021-08-07",19
178,1488,13,15,"2021-08-07",12
179,1203,14,10,"2021-08-07",8
180,733,15,17,"2021-08-07",10
181,702,16,3,"2021-08-07",6
182,645,17,3,"2021-08-07",14
183,626,18,6,"2021-08-07",2
184,566,19,2,"2021-08-07",15
185,9402,0,10,"2021-08-08",18
186,6236,1,5,"2021-08-08",9
187,6168,2,64,"2021-08-08",1
188,6132,3,3,"2021-08-08",17
189,4818,4,10,"2021-08-08",7
190,4442,5,3,"2021-08-08",16
191,4064,6,2,"2021-08-08",11
192,3481,7,2,"2021-08-08",3
193,3202,8,40,"2021-08-08",5
194,3044,9,17,"2021-08-08",4
195,3044,10,5,"2021-08-08",20
196,2961,11,19,"2021-08-08",13
197,1529,12,2,"2021-08-08",19
198,1488,13,15,"2021-08-08",12
199,1203,14,10,"2021-08-08",8
200,733,15,17,"2021-08-08",10
201,702,16,3,"2021-08-08",6
202,645,17,3,"2021-08-08",14
203,626,18,6,"2021-08-08",2
204,566,19,2,"2021-08-08",15
205,9402,0,10,"2021-08-10",18
206,6236,1,5,"2021-08-10",9
207,6168,2,64,"2021-08-10",1
208,6132,3,3,"2021-08-10",17
209,4818,4,10,"2021-08-10",7
210,4442,5,3,"2021-08-10",16
211,4064,6,2,"2021-08-10",11
212,3481,7,2,"2021-08-10",3
213,3202,8,40,"2021-08-10",5
214,3044,9,17,"2021-08-10",4
215,3044,10,5,"2021-08-10",20
216,2961,11,19,"2021-08-10",13
217,1529,12,2,"2021-08-10",19
218,1488,13,15,"2021-08-10",12
219,1203,14,10,"2021-08-10",8
220,733,15,17,"2021-08-10",10
221,702,16,3,"2021-08-10",6
222,645,17,3,"2021-08-10",14
223,626,18,6,"2021-08-10",2
224,566,19,2,"2021-08-10",15
225,9402,0,10,"2021-08-11",18
226,6236,1,5,"2021-08-11",9
227,6168,2,64,"2021-08-11",1
228,6132,3,3,"2021-08-11",17
229,4818,4,10,"2021-08-11",7
230,4442,5,3,"2021-08-11",16
231,4064,6,2,"2021-08-11",11
232,3481,7,2,"2021-08-11",3
233,3202,8,40,"2021-08-11",5
234,3044,9,17,"2021-08-11",4
235,3044,10,5,"2021-08-11",20
236,2961,11,19,"2021-08-11",13
237,1529,12,2,"2021-08-11",19
238,1488,13,15,"2021-08-11",12
239,1203,14,10,"2021-08-11",8
240,733,15,17,"2021-08-11",10
241,702,16,3,"2021-08-11",6
242,645,17,3,"2021-08-11",14
243,626,18,6,"2021-08-11",2
244,566,19,2,"2021-08-11",15
245,9402,0,11,"2021-08-12",18
246,6560,1,6,"2021-08-12",9
247,6168,2,64,"2021-08-12",1
248,6132,3,3,"2021-08-12",17
249,4907,4,11,"2021-08-12",7
250,4442,5,3,"2021-08-12",16
251,4064,6,2,"2021-08-12",11
252,3481,7,2,"2021-08-12",3
253,3202,8,42,"2021-08-12",5
254,3044,9,17,"2021-08-12",4
255,3044,10,5,"2021-08-12",20
256,2961,11,19,"2021-08-12",13
257,1529,12,2,"2021-08-12",19
258,1488,13,15,"2021-08-12",12
259,1203,14,10,"2021-08-12",8
260,943,15,7,"2021-08-12",2
261,733,16,18,"2021-08-12",10
262,702,17,3,"2021-08-12",6
263,645,18,3,"2021-08-12",14
264,566,19,2,"2021-08-12",15
265,9402,0,11,"2021-08-13",18
266,6560,1,6,"2021-08-13",9
267,6168,2,64,"2021-08-13",1
268,6132,3,3,"2021-08-13",17
269,4907,4,11,"2021-08-13",7
270,4442,5,3,"2021-08-13",16
271,4064,6,2,"2021-08-13",11
272,3481,7,2,"2021-08-13",3
273,3202,8,42,"2021-08-13",5
274,3044,9,17,"2021-08-13",4
275,3044,10,5,"2021-08-13",20
276,2961,11,19,"2021-08-13",13
277,1529,12,2,"2021-08-13",19
278,1488,13,15,"2021-08-13",12
279,1203,14,10,"2021-08-13",8
280,943,15,7,"2021-08-13",2
281,733,16,18,"2021-08-13",10
282,702,17,3,"2021-08-13",6
283,645,18,3,"2021-08-13",14
284,566,19,2,"2021-08-13",15
285,9402,0,11,"2021-08-14",18
286,6560,1,6,"2021-08-14",9
287,6168,2,64,"2021-08-14",1
288,6132,3,3,"2021-08-14",17
289,5220,4,6,"2021-08-14",20
290,4907,5,11,"2021-08-14",7
291,4442,6,3,"2021-08-14",16
292,4064,7,2,"2021-08-14",11
293,3481,8,2,"2021-08-14",3
294,3202,9,42,"2021-08-14",5
295,3044,10,17,"2021-08-14",4
296,2961,11,19,"2021-08-14",13
297,1529,12,2,"2021-08-14",19
298,1488,13,15,"2021-08-14",12
299,1203,14,10,"2021-08-14",8
300,943,15,7,"2021-08-14",2
301,733,16,18,"2021-08-14",10
302,702,17,3,"2021-08-14",6
303,645,18,3,"2021-08-14",14
304,566,19,2,"2021-08-14",15
305,9402,0,11,"2021-08-17",18
306,6560,1,6,"2021-08-17",9
307,6168,2,64,"2021-08-17",1
308,6132,3,3,"2021-08-17",17
309,5220,4,6,"2021-08-17",20
310,4907,5,11,"2021-08-17",7
311,4442,6,3,"2021-08-17",16
312,4064,7,2,"2021-08-17",11
313,3481,8,2,"2021-08-17",3
314,3202,9,42,"2021-08-17",5
315,3044,10,17,"2021-08-17",4
316,2961,11,19,"2021-08-17",13
317,1529,12,2,"2021-08-17",19
318,1488,13,15,"2021-08-17",12
319,1203,14,10,"2021-08-17",8
320,943,15,7,"2021-08-17",2
321,733,16,18,"2021-08-17",10
322,702,17,3,"2021-08-17",6
323,645,18,3,"2021-08-17",14
324,566,19,2,"2021-08-17",15
325,9402,0,11,"2021-08-18",18
326,6560,1,6,"2021-08-18",9
327,6168,2,64,"2021-08-18",1
328,6132,3,3,"2021-08-18",17
329,5220,4,6,"2021-08-18",20
330,4907,5,11,"2021-08-18",7
331,4442,6,3,"2021-08-18",16
332,4064,7,2,"2021-08-18",11
333,3481,8,2,"2021-08-18",3
334,3202,9,42,"2021-08-18",5
335,3044,10,17,"2021-08-18",4
336,2961,11,19,"2021-08-18",13
337,1529,12,2,"2021-08-18",19
338,1488,13,15,"2021-08-18",12
339,1203,14,10,"2021-08-18",8
340,943,15,7,"2021-08-18",2
341,733,16,18,"2021-08-18",10
342,702,17,3,"2021-08-18",6
343,645,18,3,"2021-08-18",14
344,566,19,2,"2021-08-18",15
345,9402,0,11,"2021-08-19",18
346,6560,1,6,"2021-08-19",9
347,6168,2,64,"2021-08-19",1
348,6132,3,3,"2021-08-19",17
349,5220,4,6,"2021-08-19",20
350,4907,5,11,"2021-08-19",7
351,4442,6,3,"2021-08-19",16
352,4064,7,2,"2021-08-19",11
353,3481,8,2,"2021-08-19",3
354,3202,9,42,"2021-08-19",5
355,3044,10,17,"2021-08-19",4
356,2961,11,19,"2021-08-19",13
357,1529,12,2,"2021-08-19",19
358,1488,13,15,"2021-08-19",12
359,1203,14,10,"2021-08-19",8
360,943,15,7,"2021-08-19",2
361,733,16,18,"2021-08-19",10
362,702,17,3,"2021-08-19",6
363,645,18,3,"2021-08-19",14
364,566,19,2,"2021-08-19",15
365,266,20,1,"2021-08-19",21
366,9402,0,11,"2021-08-20",18
367,6560,1,6,"2021-08-20",9
368,6168,2,64,"2021-08-20",1
369,6132,3,3,"2021-08-20",17
370,5220,4,6,"2021-08-20",20
371,4907,5,11,"2021-08-20",7
372,4442,6,3,"2021-08-20",16
373,4064,7,2,"2021-08-20",11
374,3481,8,2,"2021-08-20",3
375,3202,9,42,"2021-08-20",5
376,3044,10,17,"2021-08-20",4
377,2961,11,19,"2021-08-20",13
378,1529,12,2,"2021-08-20",19
379,1488,13,15,"2021-08-20",12
380,1203,14,10,"2021-08-20",8
381,943,15,7,"2021-08-20",2
382,733,16,18,"2021-08-20",10
383,702,17,3,"2021-08-20",6
384,645,18,3,"2021-08-20",14
385,566,19,2,"2021-08-20",15
386,266,20,1,"2021-08-20",21
387,9402,0,11,"2021-08-21",18
388,6560,1,6,"2021-08-21",9
389,6168,2,64,"2021-08-21",1
390,6132,3,3,"2021-08-21",17
391,5220,4,6,"2021-08-21",20
392,4907,5,11,"2021-08-21",7
393,4442,6,3,"2021-08-21",16
394,4064,7,2,"2021-08-21",11
395,3481,8,2,"2021-08-21",3
396,3202,9,42,"2021-08-21",5
397,3044,10,17,"2021-08-21",4
398,2961,11,19,"2021-08-21",13
399,1529,12,2,"2021-08-21",19
400,1488,13,15,"2021-08-21",12
401,943,14,7,"2021-08-21",2
402,733,15,19,"2021-08-21",10
403,702,16,3,"2021-08-21",6
404,645,17,3,"2021-08-21",14
405,566,18,2,"2021-08-21",15
406,546,19,11,"2021-08-21",8
407,266,20,1,"2021-08-21",21
408,6560,0,6,"2021-08-23",9
409,6168,1,67,"2021-08-23",1
410,6132,2,3,"2021-08-23",17
411,5220,3,6,"2021-08-23",20
412,4952,4,13,"2021-08-23",7
413,4442,5,3,"2021-08-23",16
414,4064,6,2,"2021-08-23",11
415,3481,7,2,"2021-08-23",3
416,3202,8,44,"2021-08-23",5
417,3044,9,19,"2021-08-23",4
418,2961,10,20,"2021-08-23",13
419,2922,11,17,"2021-08-23",18
420,1529,12,2,"2021-08-23",19
421,1488,13,15,"2021-08-23",12
422,943,14,7,"2021-08-23",2
423,733,15,19,"2021-08-23",10
424,702,16,3,"2021-08-23",6
425,645,17,3,"2021-08-23",14
426,568,18,18,"2021-08-23",8
427,566,19,2,"2021-08-23",15
428,266,20,1,"2021-08-23",21
429,102,21,3,"2021-08-23",22
430,0,22,0,"2021-08-23",23
431,6560,0,6,"2021-08-24",9
432,6168,1,67,"2021-08-24",1
433,6132,2,3,"2021-08-24",17
434,5220,3,6,"2021-08-24",20
435,4952,4,13,"2021-08-24",7
436,4442,5,3,"2021-08-24",16
437,4064,6,2,"2021-08-24",11
438,3481,7,2,"2021-08-24",3
439,3202,8,44,"2021-08-24",5
440,3044,9,19,"2021-08-24",4
441,2961,10,20,"2021-08-24",13
442,2922,11,17,"2021-08-24",18
443,1529,12,2,"2021-08-24",19
444,1488,13,15,"2021-08-24",12
445,943,14,7,"2021-08-24",2
446,733,15,19,"2021-08-24",10
447,702,16,3,"2021-08-24",6
448,645,17,3,"2021-08-24",14
449,568,18,18,"2021-08-24",8
450,566,19,2,"2021-08-24",15
451,266,20,1,"2021-08-24",21
452,102,21,3,"2021-08-24",22
453,0,22,0,"2021-08-24",23
454,6560,0,6,"2021-08-25",9
455,6168,1,67,"2021-08-25",1
456,6132,2,3,"2021-08-25",17
457,5220,3,6,"2021-08-25",20
458,4952,4,13,"2021-08-25",7
459,4442,5,3,"2021-08-25",16
460,4064,6,2,"2021-08-25",11
461,3481,7,2,"2021-08-25",3
462,3202,8,45,"2021-08-25",5
463,3044,9,19,"2021-08-25",4
464,2961,10,20,"2021-08-25",13
465,2922,11,17,"2021-08-25",18
466,1529,12,2,"2021-08-25",19
467,1488,13,15,"2021-08-25",12
468,943,14,7,"2021-08-25",2
469,733,15,19,"2021-08-25",10
470,702,16,3,"2021-08-25",6
471,645,17,3,"2021-08-25",14
472,568,18,18,"2021-08-25",8
473,566,19,2,"2021-08-25",15
474,266,20,1,"2021-08-25",21
475,102,21,3,"2021-08-25",22
476,57,22,2,"2021-08-25",24
477,0,23,0,"2021-08-25",23
478,6560,0,6,"2021-08-26",9
479,6168,1,67,"2021-08-26",1
480,6132,2,3,"2021-08-26",17
481,5220,3,6,"2021-08-26",20
482,4952,4,13,"2021-08-26",7
483,4465,5,4,"2021-08-26",16
484,4064,6,2,"2021-08-26",11
485,3481,7,2,"2021-08-26",3
486,3202,8,46,"2021-08-26",5
487,3044,9,20,"2021-08-26",4
488,2961,10,20,"2021-08-26",13
489,1529,11,2,"2021-08-26",19
490,1488,12,16,"2021-08-26",12
491,982,13,3,"2021-08-26",23
492,943,14,7,"2021-08-26",2
493,900,15,18,"2021-08-26",18
494,733,16,20,"2021-08-26",10
495,702,17,3,"2021-08-26",6
496,645,18,3,"2021-08-26",14
497,568,19,18,"2021-08-26",8
498,566,20,2,"2021-08-26",15
499,266,21,1,"2021-08-26",21
500,102,22,3,"2021-08-26",22
501,67,23,3,"2021-08-26",24
502,6560,0,6,"2021-08-27",9
503,6168,1,67,"2021-08-27",1
504,6132,2,3,"2021-08-27",17
505,5220,3,6,"2021-08-27",20
506,4952,4,13,"2021-08-27",7
507,4465,5,4,"2021-08-27",16
508,4064,6,2,"2021-08-27",11
509,3481,7,2,"2021-08-27",3
510,3202,8,46,"2021-08-27",5
511,3044,9,20,"2021-08-27",4
512,2961,10,20,"2021-08-27",13
513,1529,11,2,"2021-08-27",19
514,1488,12,16,"2021-08-27",12
515,982,13,3,"2021-08-27",23
516,943,14,7,"2021-08-27",2
517,900,15,18,"2021-08-27",18
518,733,16,20,"2021-08-27",10
519,702,17,3,"2021-08-27",6
520,645,18,3,"2021-08-27",14
521,568,19,18,"2021-08-27",8
522,566,20,2,"2021-08-27",15
523,266,21,1,"2021-08-27",21
524,102,22,3,"2021-08-27",22
525,67,23,3,"2021-08-27",24
526,6560,0,6,"2021-08-28",9
527,6168,1,67,"2021-08-28",1
528,6132,2,3,"2021-08-28",17
529,5220,3,6,"2021-08-28",20
530,4952,4,13,"2021-08-28",7
531,4465,5,4,"2021-08-28",16
532,4064,6,2,"2021-08-28",11
533,3481,7,2,"2021-08-28",3
534,3202,8,46,"2021-08-28",5
535,3044,9,20,"2021-08-28",4
536,2961,10,20,"2021-08-28",13
537,1529,11,2,"2021-08-28",19
538,1488,12,16,"2021-08-28",12
539,982,13,3,"2021-08-28",23
540,943,14,7,"2021-08-28",2
541,900,15,18,"2021-08-28",18
542,733,16,22,"2021-08-28",10
543,702,17,3,"2021-08-28",6
544,645,18,3,"2021-08-28",14
545,568,19,18,"2021-08-28",8
546,566,20,2,"2021-08-28",15
547,266,21,1,"2021-08-28",21
548,102,22,3,"2021-08-28",22
549,67,23,3,"2021-08-28",24
550,6168,0,67,"2021-08-30",1
551,6132,1,3,"2021-08-30",17
552,5220,2,6,"2021-08-30",20
553,4952,3,13,"2021-08-30",7
554,4465,4,4,"2021-08-30",16
555,4064,5,2,"2021-08-30",11
556,3481,6,2,"2021-08-30",3
557,3202,7,46,"2021-08-30",5
558,3044,8,20,"2021-08-30",4
559,2961,9,20,"2021-08-30",13
560,1962,10,5,"2021-08-30",9
561,1529,11,2,"2021-08-30",19
562,1488,12,16,"2021-08-30",12
563,982,13,3,"2021-08-30",23
564,943,14,7,"2021-08-30",2
565,900,15,18,"2021-08-30",18
566,843,16,3,"2021-08-30",15
567,733,17,22,"2021-08-30",10
568,702,18,3,"2021-08-30",6
569,645,19,3,"2021-08-30",14
570,568,20,19,"2021-08-30",8
571,498,21,2,"2021-08-30",21
572,295,22,1,"2021-08-30",25
573,102,23,3,"2021-08-30",22
574,67,24,3,"2021-08-30",24
575,6168,0,67,"2021-09-01",1
576,6132,1,3,"2021-09-01",17
577,5220,2,6,"2021-09-01",20
578,4952,3,13,"2021-09-01",7
579,4465,4,4,"2021-09-01",16
580,4064,5,2,"2021-09-01",11
581,3481,6,2,"2021-09-01",3
582,3202,7,46,"2021-09-01",5
583,3044,8,20,"2021-09-01",4
584,2961,9,21,"2021-09-01",13
585,1962,10,5,"2021-09-01",9
586,1529,11,2,"2021-09-01",19
587,1488,12,16,"2021-09-01",12
588,982,13,3,"2021-09-01",23
589,943,14,7,"2021-09-01",2
590,900,15,19,"2021-09-01",18
591,843,16,3,"2021-09-01",15
592,733,17,22,"2021-09-01",10
593,702,18,3,"2021-09-01",6
594,645,19,3,"2021-09-01",14
595,568,20,19,"2021-09-01",8
596,498,21,2,"2021-09-01",21
597,295,22,1,"2021-09-01",25
598,102,23,3,"2021-09-01",22
599,67,24,3,"2021-09-01",24
600,6168,0,67,"2021-09-02",1
601,6132,1,3,"2021-09-02",17
602,5220,2,6,"2021-09-02",20
603,4952,3,13,"2021-09-02",7
604,4465,4,4,"2021-09-02",16
605,4064,5,2,"2021-09-02",11
606,3481,6,2,"2021-09-02",3
607,3202,7,47,"2021-09-02",5
608,3044,8,20,"2021-09-02",4
609,2961,9,21,"2021-09-02",13
610,2076,10,5,"2021-09-02",15
611,1962,11,5,"2021-09-02",9
612,1529,12,2,"2021-09-02",19
613,1488,13,16,"2021-09-02",12
614,982,14,3,"2021-09-02",23
615,943,15,7,"2021-09-02",2
616,900,16,20,"2021-09-02",18
617,733,17,22,"2021-09-02",10
618,702,18,3,"2021-09-02",6
619,645,19,3,"2021-09-02",14
620,568,20,20,"2021-09-02",8
621,498,21,2,"2021-09-02",21
622,295,22,1,"2021-09-02",25
623,102,23,3,"2021-09-02",22
624,67,24,3,"2021-09-02",24
625,0,25,0,"2021-09-02",26
626,6168,0,67,"2021-09-03",1
627,6132,1,3,"2021-09-03",17
628,5220,2,6,"2021-09-03",20
629,4952,3,13,"2021-09-03",7
630,4465,4,4,"2021-09-03",16
631,4064,5,2,"2021-09-03",11
632,3481,6,2,"2021-09-03",3
633,3202,7,47,"2021-09-03",5
634,3044,8,20,"2021-09-03",4
635,2961,9,21,"2021-09-03",13
636,2076,10,5,"2021-09-03",15
637,1962,11,5,"2021-09-03",9
638,1529,12,2,"2021-09-03",19
639,1488,13,16,"2021-09-03",12
640,982,14,3,"2021-09-03",23
641,943,15,7,"2021-09-03",2
642,900,16,20,"2021-09-03",18
643,733,17,22,"2021-09-03",10
644,702,18,3,"2021-09-03",6
645,645,19,3,"2021-09-03",14
646,568,20,20,"2021-09-03",8
647,498,21,2,"2021-09-03",21
648,295,22,1,"2021-09-03",25
649,102,23,3,"2021-09-03",22
650,67,24,3,"2021-09-03",24
651,0,25,0,"2021-09-03",26
652,6168,0,67,"2021-09-04",1
653,6132,1,3,"2021-09-04",17
654,5220,2,6,"2021-09-04",20
655,4952,3,13,"2021-09-04",7
656,4465,4,4,"2021-09-04",16
657,4064,5,2,"2021-09-04",11
658,3481,6,2,"2021-09-04",3
659,3202,7,47,"2021-09-04",5
660,3044,8,20,"2021-09-04",4
661,2961,9,21,"2021-09-04",13
662,2249,10,6,"2021-09-04",15
663,1962,11,5,"2021-09-04",9
664,1529,12,2,"2021-09-04",19
665,1488,13,19,"2021-09-04",12
666,982,14,3,"2021-09-04",23
667,943,15,7,"2021-09-04",2
668,900,16,20,"2021-09-04",18
669,733,17,22,"2021-09-04",10
670,702,18,3,"2021-09-04",6
671,645,19,3,"2021-09-04",14
672,568,20,20,"2021-09-04",8
673,498,21,2,"2021-09-04",21
674,295,22,1,"2021-09-04",25
675,102,23,3,"2021-09-04",22
676,67,24,3,"2021-09-04",24
677,0,25,0,"2021-09-04",26
678,6168,0,67,"2021-09-06",1
679,6132,1,3,"2021-09-06",17
680,5220,2,6,"2021-09-06",20
681,4952,3,13,"2021-09-06",7
682,4465,4,4,"2021-09-06",16
683,4064,5,2,"2021-09-06",11
684,3481,6,2,"2021-09-06",3
685,3202,7,47,"2021-09-06",5
686,3044,8,20,"2021-09-06",4
687,2961,9,21,"2021-09-06",13
688,2249,10,6,"2021-09-06",15
689,1962,11,5,"2021-09-06",9
690,1529,12,2,"2021-09-06",19
691,1488,13,19,"2021-09-06",12
692,982,14,3,"2021-09-06",23
693,943,15,7,"2021-09-06",2
694,900,16,20,"2021-09-06",18
695,733,17,22,"2021-09-06",10
696,702,18,3,"2021-09-06",6
697,645,19,3,"2021-09-06",14
698,568,20,20,"2021-09-06",8
699,498,21,2,"2021-09-06",21
700,295,22,1,"2021-09-06",25
701,102,23,3,"2021-09-06",22
702,67,24,3,"2021-09-06",24
703,0,25,0,"2021-09-06",26
704,6168,0,67,"2021-09-07",1
705,6132,1,3,"2021-09-07",17
706,5220,2,6,"2021-09-07",20
707,4952,3,13,"2021-09-07",7
708,4465,4,4,"2021-09-07",16
709,4064,5,2,"2021-09-07",11
710,3481,6,2,"2021-09-07",3
711,3202,7,47,"2021-09-07",5
712,3044,8,20,"2021-09-07",4
713,2961,9,21,"2021-09-07",13
714,2249,10,6,"2021-09-07",15
715,1962,11,5,"2021-09-07",9
716,1529,12,2,"2021-09-07",19
717,1488,13,19,"2021-09-07",12
718,982,14,3,"2021-09-07",23
719,943,15,7,"2021-09-07",2
720,900,16,20,"2021-09-07",18
721,733,17,22,"2021-09-07",10
722,702,18,3,"2021-09-07",6
723,645,19,3,"2021-09-07",14
724,568,20,20,"2021-09-07",8
725,498,21,2,"2021-09-07",21
726,295,22,1,"2021-09-07",25
727,102,23,3,"2021-09-07",22
728,67,24,3,"2021-09-07",24
729,0,25,0,"2021-09-07",26
730,6168,0,67,"2021-09-09",1
731,6132,1,3,"2021-09-09",17
732,5220,2,6,"2021-09-09",20
733,4952,3,13,"2021-09-09",7
734,4465,4,4,"2021-09-09",16
735,4064,5,2,"2021-09-09",11
736,3481,6,2,"2021-09-09",3
737,3202,7,47,"2021-09-09",5
738,3044,8,20,"2021-09-09",4
739,2961,9,21,"2021-09-09",13
740,2249,10,6,"2021-09-09",15
741,1962,11,5,"2021-09-09",9
742,1529,12,2,"2021-09-09",19
743,1488,13,19,"2021-09-09",12
744,982,14,3,"2021-09-09",23
745,943,15,7,"2021-09-09",2
746,900,16,20,"2021-09-09",18
747,733,17,22,"2021-09-09",10
748,702,18,3,"2021-09-09",6
749,645,19,3,"2021-09-09",14
