id,fund,sort,total,"date",groupId
66,6236,1,5,"2021-08-02",9
67,6168,2,64,"2021-08-02",1
68,6132,3,3,"2021-08-02",17
69,4818,4,10,"2021-08-02",7
70,4442,5,3,"2021-08-02",16
71,4064,6,2,"2021-08-02",11
72,3202,7,39,"2021-08-02",5
73,3044,8,17,"2021-08-02",4
74,2961,9,19,"2021-08-02",13
75,2647,10,3,"2021-08-02",20
76,1498,11,1,"2021-08-02",19
77,1488,12,14,"2021-08-02",12
78,1203,13,10,"2021-08-02",8
79,733,14,16,"2021-08-02",10
80,702,15,3,"2021-08-02",6
81,566,16,2,"2021-08-02",15
82,342,17,6,"2021-08-02",2
83,103,18,2,"2021-08-02",14
84,16,19,1,"2021-08-02",3
85,8933,0,7,"2021-08-03",18
86,6236,1,5,"2021-08-03",9
87,6168,2,64,"2021-08-03",1
88,6132,3,3,"2021-08-03",17
89,4818,4,10,"2021-08-03",7
90,4442,5,3,"2021-08-03",16
91,4064,6,2,"2021-08-03",11
92,3202,7,39,"2021-08-03",5
93,3044,8,17,"2021-08-03",4
94,2961,9,19,"2021-08-03",13
95,2647,10,3,"2021-08-03",20
96,1498,11,1,"2021-08-03",19
97,1488,12,14,"2021-08-03",12
98,1203,13,10,"2021-08-03",8
99,733,14,16,"2021-08-03",10
100,702,15,3,"2021-08-03",6
101,566,16,2,"2021-08-03",15
102,342,17,6,"2021-08-03",2
103,103,18,2,"2021-08-03",14
104,16,19,1,"2021-08-03",3
105,8933,0,7,"2021-08-04",18
106,6236,1,5,"2021-08-04",9
107,6168,2,64,"2021-08-04",1
108,6132,3,3,"2021-08-04",17
109,4818,4,10,"2021-08-04",7
110,4442,5,3,"2021-08-04",16
111,4064,6,2,"2021-08-04",11
112,3202,7,39,"2021-08-04",5
113,3044,8,17,"2021-08-04",4
114,2961,9,19,"2021-08-04",13
115,2647,10,3,"2021-08-04",20
116,1529,11,2,"2021-08-04",19
117,1488,12,15,"2021-08-04",12
118,1203,13,10,"2021-08-04",8
119,733,14,17,"2021-08-04",10
120,702,15,3,"2021-08-04",6
121,645,16,3,"2021-08-04",14
122,566,17,2,"2021-08-04",15
123,342,18,6,"2021-08-04",2
124,16,19,1,"2021-08-04",3
125,8933,0,7,"2021-08-05",18
126,6236,1,5,"2021-08-05",9
127,6168,2,64,"2021-08-05",1
128,6132,3,3,"2021-08-05",17
129,4818,4,10,"2021-08-05",7
130,4442,5,3,"2021-08-05",16
131,4064,6,2,"2021-08-05",11
132,3202,7,39,"2021-08-05",5
133,3044,8,17,"2021-08-05",4
134,2961,9,19,"2021-08-05",13
135,2647,10,3,"2021-08-05",20
136,1529,11,2,"2021-08-05",19
137,1488,12,15,"2021-08-05",12
138,1203,13,10,"2021-08-05",8
139,733,14,17,"2021-08-05",10
140,702,15,3,"2021-08-05",6
141,645,16,3,"2021-08-05",14
142,566,17,2,"2021-08-05",15
143,342,18,6,"2021-08-05",2
144,16,19,1,"2021-08-05",3
145,8933,0,7,"2021-08-06",18
146,6236,1,5,"2021-08-06",9
147,6168,2,64,"2021-08-06",1
148,6132,3,3,"2021-08-06",17
149,4818,4,10,"2021-08-06",7
150,4442,5,3,"2021-08-06",16
151,4064,6,2,"2021-08-06",11
152,3202,7,40,"2021-08-06",5
153,3044,8,17,"2021-08-06",4
154,2988,9,4,"2021-08-06",20
155,2961,10,19,"2021-08-06",13
156,1529,11,2,"2021-08-06",19
157,1488,12,15,"2021-08-06",12
158,1203,13,10,"2021-08-06",8
159,733,14,17,"2021-08-06",10
160,702,15,3,"2021-08-06",6
161,645,16,3,"2021-08-06",14
162,566,17,2,"2021-08-06",15
163,342,18,6,"2021-08-06",2
164,16,19,1,"2021-08-06",3
